,Biotin Condition,Class,score
SLX-21561.i729_i515,LO_Infected,Biotin BV421 DAPI-A,8.76732914779405
SLX-21561.i729_i516,HI_Infected,Biotin BV421 DAPI-A,9.255122514748075
SLX-21561.i729_i517,HI_Infected,Biotin BV421 DAPI-A,9.385637313833174
SLX-21561.i729_i518,HI_Infected,Biotin BV421 DAPI-A,9.410747396316522
SLX-21561.i729_i520,HI_Control,Biotin BV421 DAPI-A,10.141086124819923
SLX-21561.i701_i502,HI_Control,EPCR PE PE-A,8.137103389639302
SLX-21561.i701_i503,LO_Infected,EPCR PE PE-A,9.056956065076825
SLX-21561.i701_i505,HI_Infected,EPCR PE PE-A,10.142819364046863
SLX-21561.i701_i506,LO_Infected,EPCR PE PE-A,8.669227347271736
SLX-21561.i701_i507,HI_Control,EPCR PE PE-A,6.161207321695077
SLX-21561.i701_i508,HI_Control,EPCR PE PE-A,9.610658925931467
SLX-21561.i701_i510,HI_Control,EPCR PE PE-A,10.755005069067515
SLX-21561.i701_i511,LO_Infected,EPCR PE PE-A,5.655991810819852
SLX-21561.i702_i502,HI_Control,EPCR PE PE-A,8.166216268592143
SLX-21561.i702_i503,HI_Infected,EPCR PE PE-A,6.021023349349527
SLX-21561.i702_i505,LO_Infected,EPCR PE PE-A,9.104090572133472
SLX-21561.i702_i506,HI_Infected,EPCR PE PE-A,10.607277893194553
SLX-21561.i702_i507,LO_Control,EPCR PE PE-A,10.624857692039813
SLX-21561.i702_i508,HI_Control,EPCR PE PE-A,10.44380401506915
SLX-21561.i702_i510,HI_Control,EPCR PE PE-A,7.900266036767701
SLX-21561.i702_i511,HI_Infected,EPCR PE PE-A,5.762051382780177
SLX-21561.i703_i502,HI_Control,EPCR PE PE-A,5.049856007249537
SLX-21561.i703_i505,LO_Infected,EPCR PE PE-A,6.806829360392176
SLX-21561.i703_i506,LO_Infected,EPCR PE PE-A,9.326967183907902
SLX-21561.i703_i507,LO_Control,EPCR PE PE-A,7.301147805856032
SLX-21561.i703_i508,HI_Control,EPCR PE PE-A,9.720705889909716
SLX-21561.i703_i510,HI_Control,EPCR PE PE-A,10.304107608981093
SLX-21561.i703_i511,LO_Infected,EPCR PE PE-A,6.774223886357614
SLX-21561.i704_i502,HI_Control,EPCR PE PE-A,8.323608442343572
SLX-21561.i704_i503,LO_Infected,EPCR PE PE-A,7.066466970136958
SLX-21561.i704_i505,LO_Infected,EPCR PE PE-A,3.4657359027997265
SLX-21561.i704_i506,HI_Infected,EPCR PE PE-A,8.58466490653125
SLX-21561.i704_i507,HI_Control,EPCR PE PE-A,10.225389875873601
SLX-21561.i704_i508,HI_Control,EPCR PE PE-A,9.696955267027116
SLX-21561.i704_i510,HI_Control,EPCR PE PE-A,9.720105433544852
SLX-21561.i704_i511,LO_Infected,EPCR PE PE-A,6.398594934535208
SLX-21561.i705_i502,HI_Control,EPCR PE PE-A,7.114769448366463
SLX-21561.i705_i503,LO_Infected,EPCR PE PE-A,4.812184355372417
SLX-21561.i705_i505,HI_Infected,EPCR PE PE-A,7.983098940710892
SLX-21561.i705_i506,HI_Infected,EPCR PE PE-A,9.106312301552135
SLX-21561.i705_i507,HI_Control,EPCR PE PE-A,6.993932975223189
SLX-21561.i705_i508,HI_Control,EPCR PE PE-A,7.722234744709607
SLX-21561.i705_i510,HI_Control,EPCR PE PE-A,9.093581811365986
SLX-21561.i705_i511,LO_Infected,EPCR PE PE-A,8.146419323098003
SLX-21561.i706_i502,HI_Control,EPCR PE PE-A,9.026898187513526
SLX-21561.i706_i503,HI_Infected,EPCR PE PE-A,10.398427667071894
SLX-21561.i706_i505,HI_Infected,EPCR PE PE-A,9.013351778138825
SLX-21561.i706_i506,HI_Infected,EPCR PE PE-A,8.733432966413652
SLX-21561.i706_i507,HI_Control,EPCR PE PE-A,9.909171369004426
SLX-21561.i706_i508,HI_Control,EPCR PE PE-A,10.003378135350923
SLX-21561.i706_i510,HI_Control,EPCR PE PE-A,9.272657678041044
SLX-21561.i706_i511,HI_Infected,EPCR PE PE-A,6.150602768446279
SLX-21561.i707_i502,HI_Control,EPCR PE PE-A,6.416732282512326
SLX-21561.i707_i503,LO_Infected,EPCR PE PE-A,10.77628606133415
SLX-21561.i707_i505,HI_Infected,EPCR PE PE-A,10.261231924432881
SLX-21561.i707_i506,HI_Infected,EPCR PE PE-A,9.664278133535126
SLX-21561.i707_i507,LO_Control,EPCR PE PE-A,9.141954459109717
SLX-21561.i707_i508,HI_Control,EPCR PE PE-A,9.08466376388818
SLX-21561.i707_i510,HI_Control,EPCR PE PE-A,9.416947954650293
SLX-21561.i707_i511,LO_Infected,EPCR PE PE-A,5.1647859739235145
SLX-21561.i710_i502,HI_Control,EPCR PE PE-A,7.955775781534187
SLX-21561.i710_i503,HI_Infected,EPCR PE PE-A,8.68270762989381
SLX-21561.i710_i505,HI_Infected,EPCR PE PE-A,8.953769294549454
SLX-21561.i710_i506,LO_Infected,EPCR PE PE-A,6.028278520230698
SLX-21561.i710_i507,HI_Control,EPCR PE PE-A,4.442651256490317
SLX-21561.i710_i508,HI_Control,EPCR PE PE-A,10.887698580894263
SLX-21561.i710_i510,LO_Control,EPCR PE PE-A,8.702177865629675
SLX-21561.i710_i511,HI_Infected,EPCR PE PE-A,6.240275845170769
SLX-21561.i711_i506,LO_Infected,EPCR PE PE-A,10.271389240089327
SLX-21561.i711_i510,HI_Control,EPCR PE PE-A,6.999422467507961
SLX-21561.i712_i502,LO_Control,EPCR PE PE-A,7.796880342783522
SLX-21561.i712_i503,HI_Infected,EPCR PE PE-A,7.406103381237015
SLX-21561.i712_i505,LO_Infected,EPCR PE PE-A,5.802118375377063
SLX-21561.i712_i507,HI_Control,EPCR PE PE-A,9.776335766875645
SLX-21561.i712_i508,LO_Control,EPCR PE PE-A,6.591673732008658
SLX-21561.i712_i510,HI_Control,EPCR PE PE-A,9.075322160298095
SLX-21561.i712_i511,LO_Infected,EPCR PE PE-A,10.272599831178495
SLX-21561.i714_i502,HI_Control,EPCR PE PE-A,6.8885724595653635
SLX-21561.i714_i503,HI_Infected,EPCR PE PE-A,10.377483203051401
SLX-21561.i714_i505,LO_Infected,EPCR PE PE-A,5.958424693029782
SLX-21561.i714_i506,HI_Infected,EPCR PE PE-A,10.325481962595504
SLX-21561.i714_i507,LO_Control,EPCR PE PE-A,9.468078568054892
SLX-21561.i714_i508,HI_Control,EPCR PE PE-A,7.676473646389156
SLX-21561.i714_i510,HI_Control,EPCR PE PE-A,10.167043414461599
SLX-21561.i714_i511,LO_Infected,EPCR PE PE-A,10.32692354596553
SLX-21561.i715_i502,HI_Control,EPCR PE PE-A,6.985641817639208
SLX-21561.i715_i503,HI_Infected,EPCR PE PE-A,9.5227394469648
SLX-21561.i715_i505,HI_Infected,EPCR PE PE-A,9.079662048334066
SLX-21561.i715_i506,LO_Infected,EPCR PE PE-A,10.737026911613315
SLX-21561.i715_i507,HI_Control,EPCR PE PE-A,8.37793112408273
SLX-21561.i715_i508,HI_Control,EPCR PE PE-A,9.411810747608898
SLX-21561.i715_i510,HI_Control,EPCR PE PE-A,8.562740006372207
SLX-21561.i715_i511,LO_Infected,EPCR PE PE-A,6.19644412779452
SLX-21561.i716_i510,HI_Control,EPCR PE PE-A,7.83399634170946
SLX-21561.i716_i513,HI_Infected,EPCR PE PE-A,9.684958338772663
SLX-21561.i716_i515,HI_Infected,EPCR PE PE-A,7.7142311448490855
SLX-21561.i716_i516,HI_Infected,EPCR PE PE-A,8.74687531957003
SLX-21561.i716_i517,HI_Infected,EPCR PE PE-A,9.779227335155444
SLX-21561.i716_i518,HI_Infected,EPCR PE PE-A,10.165082290224591
SLX-21561.i718_i505,HI_Infected,EPCR PE PE-A,7.845416036592485
SLX-21561.i718_i506,HI_Control,EPCR PE PE-A,8.259975659768276
